https://www.pro-football-reference.com/play-index/pgl_finder.cgi?request=1&match=game&year_min=2004&year_max=2019&season_start=1&season_end=-1&pos%5B%5D=QB&is_starter=E&game_type=E&league_id=NFL&career_game_num_min=1&career_game_num_max=400&qb_start_num_min=1&qb_start_num_max=400&game_num_min=0&game_num_max=99&week_num_min=0&week_num_max=99&c1stat=pass_att&c1comp=gt&c1val=0&c2stat=rush_att&c2comp=gt&c2val=0&c3stat=fumbles&c3comp=gt&c3val=0&c5val=1.0&order_by=game_date&offset=9700
Sat Oct 26 2019 12:55:32 GMT-0700 (Pacific Daylight Time)

player,date,team,home,opp,game,week,day,completions,passatt,passyards,passtds,ints,sacks,sackyards,rushatt,rushyards,rushtds,fumbles
Michael Vick,2004-11-28,ATL,,NOR,11,12,Sun,16,29,212,2,1,2,2,10,69,1,0
Joey Harrington,2004-11-25,DET,,IND,11,12,Thu,14,23,156,0,0,2,3,0,0,0,0
Drew Henson,2004-11-25,DAL,,CHI,11,12,Thu,4,12,31,0,1,1,5,0,0,0,0
Craig Krenzel,2004-11-25,CHI,@,DAL,11,12,Thu,5,10,46,0,0,2,6,2,2,0,0
Peyton Manning,2004-11-25,IND,@,DET,11,12,Thu,23,28,236,6,0,0,0,1,4,0,0
Mike McMahon,2004-11-25,DET,,IND,11,12,Thu,11,15,77,0,1,1,12,2,18,0,0
Jonathan Quinn,2004-11-25,CHI,@,DAL,11,12,Thu,10,21,86,0,2,4,35,0,0,0,0
Jim Sorgi,2004-11-25,IND,@,DET,11,12,Thu,1,3,7,0,0,0,0,0,0,0,0
Vinny Testaverde,2004-11-25,DAL,,CHI,11,12,Thu,9,14,92,1,1,1,5,3,-3,0,0
Tom Brady,2004-11-22,NWE,@,KAN,10,11,Mon,17,26,315,1,0,1,6,5,-1,0,0
Trent Green,2004-11-22,KAN,,NWE,10,11,Mon,27,42,381,2,1,4,28,1,6,0,0
Drew Bledsoe,2004-11-21,BUF,,STL,10,11,Sun,15,24,185,3,1,1,10,3,-2,0,0
Kyle Boller,2004-11-21,BAL,,DAL,10,11,Sun,23,34,232,2,0,1,4,3,9,0,0
Drew Brees,2004-11-21,SDG,@,OAK,10,11,Sun,18,34,226,1,0,0,0,5,5,1,0
Aaron Brooks,2004-11-21,NOR,,DEN,10,11,Sun,34,60,377,1,3,2,15,1,7,0,0
Marc Bulger,2004-11-21,STL,@,BUF,10,11,Sun,27,45,287,2,3,6,52,0,0,0,0
David Carr,2004-11-21,HOU,,GNB,10,11,Sun,13,26,164,1,0,2,20,3,36,0,0
Quincy Carter,2004-11-21,NYJ,@,CLE,10,11,Sun,11,20,116,1,1,6,38,4,-4,0,0
Kerry Collins,2004-11-21,OAK,,SDG,10,11,Sun,18,30,227,2,0,1,7,2,11,0,0
Daunte Culpepper,2004-11-21,MIN,,DET,10,11,Sun,22,32,233,2,1,3,21,11,35,0,0
Jake Delhomme,2004-11-21,CAR,,ARI,10,11,Sun,12,25,157,2,1,0,0,1,4,0,0
Koy Detmer,2004-11-21,PHI,,WAS,10,11,Sun,0,1,0,0,0,0,0,3,-4,0,0
Trent Dilfer,2004-11-21,SEA,,MIA,10,11,Sun,14,28,196,1,2,3,19,5,11,0,0
Brett Favre*,2004-11-21,GNB,@,HOU,10,11,Sun,33,50,383,1,2,0,0,2,16,0,0
A.J. Feeley,2004-11-21,MIA,@,SEA,10,11,Sun,23,45,229,1,2,3,11,1,7,1,0
Jay Fiedler,2004-11-21,MIA,@,SEA,10,11,Sun,1,1,1,0,0,1,0,0,0,0,0
Jeff Garcia,2004-11-21,CLE,,NYJ,10,11,Sun,10,17,88,1,0,0,0,0,0,0,0
David Garrard,2004-11-21,JAX,,TEN,10,11,Sun,13,27,129,0,1,2,6,5,34,1,0
Brian Griese,2004-11-21,TAM,,SFO,10,11,Sun,15,21,210,2,2,1,7,3,5,0,0
Joey Harrington,2004-11-21,DET,@,MIN,10,11,Sun,12,19,91,1,1,3,24,4,17,0,0
Drew Henson,2004-11-21,DAL,@,BAL,10,11,Sun,6,6,47,1,0,1,21,1,7,0,0
Kelly Holcomb,2004-11-21,CLE,,NYJ,10,11,Sun,4,10,32,0,0,1,3,0,0,0,0
Shaun King,2004-11-21,ARI,@,CAR,10,11,Sun,28,52,343,1,3,4,29,6,22,0,0
Craig Krenzel,2004-11-21,CHI,,IND,10,11,Sun,14,24,175,1,2,4,30,4,5,0,0
Eli Manning,2004-11-21,NYG,,ATL,10,11,Sun,17,37,162,1,2,1,4,1,-1,0,0
Peyton Manning,2004-11-21,IND,@,CHI,10,11,Sun,17,28,211,4,1,0,0,1,5,0,0
