https://www.pro-football-reference.com/play-index/pgl_finder.cgi?request=1&match=game&year_min=2004&year_max=2019&season_start=1&season_end=-1&pos%5B%5D=QB&is_starter=E&game_type=E&league_id=NFL&career_game_num_min=1&career_game_num_max=400&qb_start_num_min=1&qb_start_num_max=400&game_num_min=0&game_num_max=99&week_num_min=0&week_num_max=99&c1stat=pass_att&c1comp=gt&c1val=0&c2stat=rush_att&c2comp=gt&c2val=0&c3stat=fumbles&c3comp=gt&c3val=0&c5val=1.0&order_by=game_date&offset=9000
Sat Oct 26 2019 12:50:58 GMT-0700 (Pacific Daylight Time)

player,date,team,home,opp,game,week,day,completions,passatt,passyards,passtds,ints,sacks,sackyards,rushatt,rushyards,rushtds,fumbles
Brett Favre*,2005-11-27,GNB,@,PHI,11,12,Sun,15,33,171,1,2,1,7,1,4,0,0
Ryan Fitzpatrick,2005-11-27,STL,@,HOU,11,12,Sun,19,30,310,3,1,5,22,3,23,0,0
Gus Frerotte,2005-11-27,MIA,@,OAK,11,12,Sun,18,31,261,2,1,3,12,0,0,0,0
Charlie Frye,2005-11-27,CLE,@,MIN,11,12,Sun,0,1,0,0,1,0,0,0,0,0,0
David Garrard,2005-11-27,JAX,@,ARI,11,12,Sun,12,26,115,0,0,0,0,6,61,1,0
Trent Green,2005-11-27,KAN,,NWE,11,12,Sun,19,26,323,1,0,2,15,4,-2,0,0
Matt Hasselbeck,2005-11-27,SEA,,NYG,11,12,Sun,21,37,249,2,1,3,21,2,7,0,0
Tim Hasselbeck,2005-11-27,NYG,@,SEA,11,12,Sun,0,0,0,0,0,,,0,0,0,0
Brad Johnson,2005-11-27,MIN,,CLE,11,12,Sun,19,28,207,3,1,2,7,3,-2,0,0
Byron Leftwich,2005-11-27,JAX,@,ARI,11,12,Sun,2,2,18,0,0,0,0,0,0,0,0
J.P. Losman,2005-11-27,BUF,,CAR,11,12,Sun,16,29,197,0,1,5,36,2,2,0,0
Eli Manning,2005-11-27,NYG,@,SEA,11,12,Sun,29,53,344,2,1,3,20,2,15,0,0
Jamie Martin,2005-11-27,STL,@,HOU,11,12,Sun,2,3,14,0,0,2,11,0,0,0,0
