https://www.pro-football-reference.com/play-index/pgl_finder.cgi?request=1&match=game&year_min=2004&year_max=2019&season_start=1&season_end=-1&pos%5B%5D=QB&is_starter=E&game_type=E&league_id=NFL&career_game_num_min=1&career_game_num_max=400&qb_start_num_min=1&qb_start_num_max=400&game_num_min=0&game_num_max=99&week_num_min=0&week_num_max=99&c1stat=pass_att&c1comp=gt&c1val=0&c2stat=rush_att&c2comp=gt&c2val=0&c3stat=fumbles&c3comp=gt&c3val=0&c5val=1.0&order_by=game_date&offset=9900
Sat Oct 26 2019 12:56:05 GMT-0700 (Pacific Daylight Time)

player,date,team,home,opp,game,week,day,completions,passatt,passyards,passtds,ints,sacks,sackyards,rushatt,rushyards,rushtds,fumbles
Jonathan Quinn,2004-10-17,CHI,,WAS,5,6,Sun,10,22,65,0,1,4,31,2,32,0,0
Tim Rattay,2004-10-17,SFO,@,NYJ,6,6,Sun,18,28,286,1,1,3,14,2,11,0,0
Ben Roethlisberger,2004-10-17,PIT,@,DAL,6,6,Sun,21,25,193,2,0,3,21,2,8,0,0
Vinny Testaverde,2004-10-17,DAL,,PIT,5,6,Sun,23,36,284,1,0,5,36,0,0,0,0
Michael Vick,2004-10-17,ATL,,SDG,6,6,Sun,12,21,218,2,1,3,12,9,35,1,0
Brett Favre*,2004-10-11,GNB,,TEN,5,5,Mon,24,44,338,2,3,0,0,1,2,0,0
Steve McNair,2004-10-11,TEN,@,GNB,5,5,Mon,15,26,206,2,0,0,0,7,36,0,0
Craig Nall,2004-10-11,GNB,,TEN,5,5,Mon,7,8,64,1,0,0,0,0,0,0,0
Drew Bledsoe,2004-10-10,BUF,@,NYJ,4,5,Sun,16,29,197,2,1,4,25,2,5,0,0
Kyle Boller,2004-10-10,BAL,@,WAS,5,5,Sun,9,18,81,0,3,2,5,7,-6,0,0
Tom Brady,2004-10-10,NWE,,MIA,4,5,Sun,7,19,76,2,1,1,7,4,-1,0,0
Drew Brees,2004-10-10,SDG,,JAX,5,5,Sun,17,26,211,2,0,0,0,2,1,0,0
