https://www.pro-football-reference.com/play-index/pgl_finder.cgi?request=1&match=game&year_min=2004&year_max=2019&season_start=1&season_end=-1&pos%5B%5D=QB&is_starter=E&game_type=E&league_id=NFL&career_game_num_min=1&career_game_num_max=400&qb_start_num_min=1&qb_start_num_max=400&game_num_min=0&game_num_max=99&week_num_min=0&week_num_max=99&c1stat=pass_att&c1comp=gt&c1val=0&c2stat=rush_att&c2comp=gt&c2val=0&c3stat=fumbles&c3comp=gt&c3val=0&c5val=1.0&order_by=game_date&offset=7200
Sat Oct 26 2019 12:44:37 GMT-0700 (Pacific Daylight Time)

player,date,team,home,opp,game,week,day,completions,passatt,passyards,passtds,ints,sacks,sackyards,rushatt,rushyards,rushtds,fumbles
Donovan McNabb,2008-09-28,PHI,@,CHI,4,4,Sun,25,41,262,1,1,3,25,2,-5,0,0
J.T. O'Sullivan,2008-09-28,SFO,@,NOR,4,4,Sun,18,36,257,1,2,6,36,2,0,0,1
Kyle Orton,2008-09-28,CHI,,PHI,4,4,Sun,18,34,199,3,2,4,21,1,0,0,2
Philip Rivers,2008-09-28,SDG,@,OAK,4,4,Sun,14,25,180,1,2,4,26,3,12,0,1
Aaron Rodgers,2008-09-28,GNB,@,TAM,4,4,Sun,14,27,165,2,3,3,18,2,8,0,0
Tony Romo,2008-09-28,DAL,,WAS,4,4,Sun,28,47,300,3,1,0,0,1,7,0,0
JaMarcus Russell,2008-09-28,OAK,,SDG,4,4,Sun,22,37,277,1,1,6,26,2,4,0,1
Matt Ryan,2008-09-28,ATL,@,CAR,4,4,Sun,21,41,158,0,0,2,8,2,11,0,0
Matt Schaub,2008-09-28,HOU,@,JAX,3,4,Sun,29,40,307,3,0,0,0,5,24,0,1
Kurt Warner*,2008-09-28,ARI,@,NYJ,4,4,Sun,40,57,472,2,3,5,46,0,0,0,4
Kellen Clemens,2008-09-22,NYJ,@,SDG,3,3,Mon,3,5,26,0,1,0,0,0,0,0,0
Brett Favre*,2008-09-22,NYJ,@,SDG,3,3,Mon,30,42,271,3,2,3,30,2,5,0,0
Philip Rivers,2008-09-22,SDG,,NYJ,3,3,Mon,19,25,250,3,1,0,0,3,-1,0,0
Derek Anderson,2008-09-21,CLE,@,BAL,3,3,Sun,14,37,125,1,3,4,26,2,-1,0,1
Drew Brees,2008-09-21,NOR,@,DEN,3,3,Sun,39,48,421,1,0,1,7,1,0,0,1
Marc Bulger,2008-09-21,STL,@,SEA,3,3,Sun,18,31,184,1,1,1,9,0,0,0,1
Jason Campbell,2008-09-21,WAS,,ARI,3,3,Sun,22,30,193,2,0,2,17,4,26,0,0
Matt Cassel,2008-09-21,NWE,,MIA,3,3,Sun,19,31,131,1,1,4,17,2,4,0,1
Kerry Collins,2008-09-21,TEN,,HOU,3,3,Sun,13,25,185,1,1,0,0,3,30,0,0
Jay Cutler,2008-09-21,DEN,,NOR,3,3,Sun,21,34,264,2,1,0,0,1,7,0,0
Jake Delhomme,2008-09-21,CAR,@,MIN,3,3,Sun,17,29,191,0,0,5,34,1,0,0,3
Trent Edwards,2008-09-21,BUF,,OAK,3,3,Sun,24,39,279,1,1,3,17,2,9,0,1
Joe Flacco,2008-09-21,BAL,,CLE,2,3,Sun,13,19,129,0,2,1,7,6,-2,0,1
Gus Frerotte,2008-09-21,MIN,,CAR,3,3,Sun,16,28,204,1,1,3,18,4,-2,0,0
David Garrard,2008-09-21,JAX,@,IND,3,3,Sun,16,22,167,0,1,0,0,2,8,0,0
