https://www.pro-football-reference.com/play-index/pgl_finder.cgi?request=1&match=game&year_min=2004&year_max=2019&season_start=1&season_end=-1&pos%5B%5D=QB&is_starter=E&game_type=E&league_id=NFL&career_game_num_min=1&career_game_num_max=400&qb_start_num_min=1&qb_start_num_max=400&game_num_min=0&game_num_max=99&week_num_min=0&week_num_max=99&c1stat=pass_att&c1comp=gt&c1val=0&c2stat=rush_att&c2comp=gt&c2val=0&c3stat=fumbles&c3comp=gt&c3val=0&c5val=1.0&order_by=game_date&offset=8400
Sat Oct 26 2019 12:48:10 GMT-0700 (Pacific Daylight Time)

player,date,team,home,opp,game,week,day,completions,passatt,passyards,passtds,ints,sacks,sackyards,rushatt,rushyards,rushtds,fumbles
Ben Roethlisberger,2006-11-12,PIT,,NOR,9,10,Sun,17,28,264,3,0,2,14,2,1,0,0
Tony Romo,2006-11-12,DAL,@,ARI,9,10,Sun,20,29,308,2,0,0,0,2,7,0,0
Sage Rosenfels,2006-11-12,HOU,@,JAX,9,10,Sun,1,3,9,0,0,1,5,3,-2,0,0
Matt Schaub,2006-11-12,ATL,,CLE,9,10,Sun,0,1,0,0,0,0,0,0,0,0,0
Alex Smith,2006-11-12,SFO,@,DET,9,10,Sun,14,20,136,0,0,3,19,8,15,0,0
Brad Smith,2006-11-12,NYJ,@,NWE,9,10,Sun,0,0,0,0,0,,,0,0,0,0
Michael Vick,2006-11-12,ATL,,CLE,9,10,Sun,16,40,197,1,2,1,3,7,74,0,0
Seneca Wallace,2006-11-12,SEA,,STL,9,10,Sun,15,23,161,2,0,5,35,2,30,0,0
Andrew Walter,2006-11-12,OAK,,DEN,9,10,Sun,18,33,214,0,0,3,16,1,0,0,0
Vince Young,2006-11-12,TEN,,BAL,9,10,Sun,13,25,211,0,1,2,6,8,39,1,0
Seneca Wallace,2006-11-06,SEA,,OAK,8,9,Mon,18,30,176,1,0,3,12,3,49,0,0
Andrew Walter,2006-11-06,OAK,@,SEA,8,9,Mon,16,35,166,0,0,9,45,2,-1,0,0
Tom Brady,2006-11-05,NWE,,IND,8,9,Sun,20,35,201,0,4,0,0,3,13,0,0
Drew Brees,2006-11-05,NOR,@,TAM,8,9,Sun,24,32,314,3,0,0,0,6,9,0,0
Mark Brunell,2006-11-05,WAS,,DAL,8,9,Sun,14,23,192,1,0,1,9,2,4,0,0
Marc Bulger,2006-11-05,STL,,KAN,8,9,Sun,31,42,354,1,0,2,17,2,11,0,0
David Carr,2006-11-05,HOU,@,NYG,8,9,Sun,21,30,176,0,0,1,6,5,24,1,0
