https://www.pro-football-reference.com/play-index/pgl_finder.cgi?request=1&match=game&year_min=2004&year_max=2019&season_start=1&season_end=-1&pos%5B%5D=QB&is_starter=E&game_type=E&league_id=NFL&career_game_num_min=1&career_game_num_max=400&qb_start_num_min=1&qb_start_num_max=400&game_num_min=0&game_num_max=99&week_num_min=0&week_num_max=99&c1stat=pass_att&c1comp=gt&c1val=0&c2stat=rush_att&c2comp=gt&c2val=0&c3stat=fumbles&c3comp=gt&c3val=0&c5val=1.0&order_by=game_date&offset=8200
Sat Oct 26 2019 12:47:32 GMT-0700 (Pacific Daylight Time)

player,date,team,home,opp,game,week,day,completions,passatt,passyards,passtds,ints,sacks,sackyards,rushatt,rushyards,rushtds,fumbles
Michael Vick,2006-12-16,ATL,,DAL,14,15,Sat,16,24,237,4,1,4,21,8,56,0,0
Matt Hasselbeck,2006-12-14,SEA,,SFO,14,15,Thu,20,37,220,1,2,3,10,1,3,0,0
Alex Smith,2006-12-14,SFO,@,SEA,14,15,Thu,14,25,162,2,0,0,0,6,33,1,0
Seneca Wallace,2006-12-14,SEA,,SFO,14,15,Thu,0,0,0,0,0,0,,0,0,0,0
Marc Bulger,2006-12-11,STL,,CHI,13,14,Mon,34,55,356,3,1,3,24,0,0,0,0
Rex Grossman,2006-12-11,CHI,@,STL,13,14,Mon,13,23,200,2,0,0,0,3,20,0,0
Tom Brady,2006-12-10,NWE,@,MIA,13,14,Sun,12,25,78,0,0,4,20,0,0,0,0
Drew Brees,2006-12-10,NOR,@,DAL,13,14,Sun,26,38,384,5,0,1,7,5,-6,0,0
Aaron Brooks,2006-12-10,OAK,@,CIN,13,14,Sun,23,39,199,1,1,4,21,2,11,0,0
Jason Campbell,2006-12-10,WAS,,PHI,13,14,Sun,15,27,182,1,2,2,17,4,38,0,0
David Carr,2006-12-10,HOU,,TEN,13,14,Sun,17,23,140,0,0,2,7,4,6,0,0
Matt Cassel,2006-12-10,NWE,@,MIA,13,14,Sun,2,3,12,0,0,1,4,0,0,0,0
Kellen Clemens,2006-12-10,NYJ,,BUF,13,14,Sun,0,0,0,0,0,2,21,1,8,0,0
Jay Cutler,2006-12-10,DEN,@,SDG,13,14,Sun,17,30,188,2,0,4,22,1,0,0,0
Brett Favre*,2006-12-10,GNB,@,SFO,13,14,Sun,22,34,293,2,0,1,12,3,-3,0,0
Jeff Garcia,2006-12-10,PHI,@,WAS,13,14,Sun,15,23,164,2,0,0,0,4,7,0,0
David Garrard,2006-12-10,JAX,,IND,13,14,Sun,8,14,79,0,1,1,7,4,4,0,0
Bruce Gradkowski,2006-12-10,TAM,,ATL,13,14,Sun,13,24,121,0,0,1,12,2,8,0,0
Trent Green,2006-12-10,KAN,,BAL,13,14,Sun,15,27,178,1,2,5,37,1,10,0,0
Joey Harrington,2006-12-10,MIA,,NWE,13,14,Sun,18,30,190,1,0,1,6,4,4,0,0
Matt Hasselbeck,2006-12-10,SEA,@,ARI,13,14,Sun,20,28,243,3,0,3,15,3,32,0,0
Brad Johnson,2006-12-10,MIN,@,DET,13,14,Sun,14,22,159,0,1,1,3,5,10,1,0
Jon Kitna,2006-12-10,DET,,MIN,13,14,Sun,28,41,294,1,3,3,11,0,0,0,0
Matt Leinart,2006-12-10,ARI,,SEA,13,14,Sun,21,34,232,2,1,0,0,2,-3,0,0
J.P. Losman,2006-12-10,BUF,@,NYJ,13,14,Sun,10,15,157,2,0,3,13,1,-1,0,0
Eli Manning,2006-12-10,NYG,@,CAR,13,14,Sun,17,33,172,3,0,1,0,5,7,0,0
Peyton Manning,2006-12-10,IND,@,JAX,13,14,Sun,25,50,313,0,1,1,5,1,1,1,0
Jamie Martin,2006-12-10,NOR,@,DAL,13,14,Sun,0,0,0,0,0,0,,0,0,0,0
Steve McNair,2006-12-10,BAL,@,KAN,13,14,Sun,21,27,283,1,0,0,0,7,12,0,0
Carson Palmer,2006-12-10,CIN,,OAK,13,14,Sun,20,28,297,2,3,0,0,0,0,0,0
Chad Pennington,2006-12-10,NYJ,,BUF,13,14,Sun,22,35,182,1,2,3,18,3,17,0,0
Jake Plummer,2006-12-10,DEN,@,SDG,13,14,Sun,0,0,0,0,0,0,,0,0,0,0
Tim Rattay,2006-12-10,TAM,,ATL,13,14,Sun,9,13,83,0,0,0,0,2,0,0,0
Philip Rivers,2006-12-10,SDG,,DEN,13,14,Sun,15,23,279,2,0,1,3,3,1,0,0
Tony Romo,2006-12-10,DAL,,NOR,13,14,Sun,16,33,249,1,2,2,18,4,1,0,0
Matt Schaub,2006-12-10,ATL,@,TAM,13,14,Sun,0,0,0,0,0,0,,1,0,0,0
Alex Smith,2006-12-10,SFO,,GNB,13,14,Sun,12,29,201,1,2,1,7,3,4,0,0
Brad Smith,2006-12-10,NYJ,,BUF,13,14,Sun,0,0,0,0,0,,,1,2,0,0
Michael Vick,2006-12-10,ATL,@,TAM,13,14,Sun,14,23,155,0,1,2,14,3,5,0,0
Kurt Warner*,2006-12-10,ARI,,SEA,13,14,Sun,0,0,0,0,0,0,0,0,0,0,0
Chris Weinke,2006-12-10,CAR,,NYG,13,14,Sun,34,61,423,1,3,2,5,3,16,0,0
Anthony Wright,2006-12-10,CIN,,OAK,13,14,Sun,1,1,6,0,0,0,0,3,-3,0,0
Vince Young,2006-12-10,TEN,@,HOU,13,14,Sun,19,29,218,0,1,2,18,7,86,1,0
Derek Anderson,2006-12-07,CLE,@,PIT,13,14,Thu,21,37,276,1,1,0,0,1,4,0,0
Charlie Batch,2006-12-07,PIT,,CLE,13,14,Thu,0,0,0,0,0,0,,2,-2,0,0
