https://www.pro-football-reference.com/play-index/pgl_finder.cgi?request=1&match=game&year_min=2004&year_max=2019&season_start=1&season_end=-1&pos%5B%5D=QB&is_starter=E&game_type=E&league_id=NFL&career_game_num_min=1&career_game_num_max=400&qb_start_num_min=1&qb_start_num_max=400&game_num_min=0&game_num_max=99&week_num_min=0&week_num_max=99&c1stat=pass_att&c1comp=gt&c1val=0&c2stat=rush_att&c2comp=gt&c2val=0&c3stat=fumbles&c3comp=gt&c3val=0&c5val=1.0&order_by=game_date&offset=7400
Sat Oct 26 2019 12:45:11 GMT-0700 (Pacific Daylight Time)

player,date,team,home,opp,game,week,day,completions,passatt,passyards,passtds,ints,sacks,sackyards,rushatt,rushyards,rushtds,fumbles
Trent Edwards,2007-12-23,BUF,,NYG,15,16,Sun,9,26,161,2,3,3,34,2,7,0,0
Brett Favre*,2007-12-23,GNB,@,CHI,15,16,Sun,17,32,153,0,2,1,4,3,0,0,0
Jeff Garcia,2007-12-23,TAM,@,SFO,15,16,Sun,12,20,196,1,0,2,6,1,0,0,0
David Garrard,2007-12-23,JAX,,OAK,15,16,Sun,11,18,199,2,1,1,8,4,19,1,0
Quinn Gray,2007-12-23,JAX,,OAK,15,16,Sun,5,8,54,2,0,1,9,2,16,0,0
Matt Gutierrez,2007-12-23,NWE,,MIA,15,16,Sun,0,0,0,0,0,0,,0,0,0,0
Matt Hasselbeck,2007-12-23,SEA,,BAL,15,16,Sun,18,27,199,2,2,2,10,3,12,0,0
Shaun Hill,2007-12-23,SFO,,TAM,15,16,Sun,11,24,123,3,1,2,7,6,-1,0,0
Damon Huard,2007-12-23,KAN,@,DET,15,16,Sun,24,36,305,2,0,4,30,0,0,0,0
Tarvaris Jackson,2007-12-23,MIN,,WAS,15,16,Sun,25,41,220,1,2,1,8,8,44,2,0
Jon Kitna,2007-12-23,DET,,KAN,15,16,Sun,9,16,115,0,1,2,16,4,8,0,0
Cleo Lemon,2007-12-23,MIA,@,NWE,15,16,Sun,18,41,171,1,0,7,38,3,9,0,0
Eli Manning,2007-12-23,NYG,@,BUF,15,16,Sun,7,15,111,0,2,2,17,2,0,0,0
Peyton Manning,2007-12-23,IND,,HOU,15,16,Sun,28,35,311,3,0,1,2,1,-1,0,0
Josh McCown,2007-12-23,OAK,@,JAX,15,16,Sun,6,8,46,0,0,2,14,0,0,0,0
Luke McCown,2007-12-23,TAM,@,SFO,15,16,Sun,18,32,185,1,1,2,8,2,17,0,0
Donovan McNabb,2007-12-23,PHI,@,NOR,15,16,Sun,24,35,263,3,0,3,12,6,37,0,0
J.T. O'Sullivan,2007-12-23,DET,,KAN,15,16,Sun,0,0,0,0,0,0,0,0,0,0,0
Kyle Orton,2007-12-23,CHI,,GNB,15,16,Sun,9,15,104,1,0,0,0,0,0,0,0
Carson Palmer,2007-12-23,CIN,,CLE,15,16,Sun,11,21,115,1,2,0,0,0,0,0,0
Chad Pennington,2007-12-23,NYJ,@,TEN,15,16,Sun,26,32,264,1,2,6,36,2,5,0,0
Chris Redman,2007-12-23,ATL,@,ARI,15,16,Sun,28,42,315,2,1,2,12,1,1,0,0
Sage Rosenfels,2007-12-23,HOU,@,IND,15,16,Sun,22,36,233,2,3,0,0,0,0,0,0
JaMarcus Russell,2007-12-23,OAK,@,JAX,15,16,Sun,7,23,83,1,3,2,10,2,0,0,0
Troy Smith,2007-12-23,BAL,@,SEA,15,16,Sun,16,33,199,1,0,2,12,6,25,0,0
