https://www.pro-football-reference.com/play-index/pgl_finder.cgi?request=1&match=game&year_min=2004&year_max=2019&season_start=1&season_end=-1&pos%5B%5D=QB&is_starter=E&game_type=E&league_id=NFL&career_game_num_min=1&career_game_num_max=400&qb_start_num_min=1&qb_start_num_max=400&game_num_min=0&game_num_max=99&week_num_min=0&week_num_max=99&c1stat=pass_att&c1comp=gt&c1val=0&c2stat=rush_att&c2comp=gt&c2val=0&c3stat=fumbles&c3comp=gt&c3val=0&c5val=1.0&order_by=game_date&offset=8500
Sat Oct 26 2019 12:48:30 GMT-0700 (Pacific Daylight Time)

player,date,team,home,opp,game,week,day,completions,passatt,passyards,passtds,ints,sacks,sackyards,rushatt,rushyards,rushtds,fumbles
Chad Pennington,2006-10-22,NYJ,,DET,7,7,Sun,16,22,189,1,1,2,12,5,2,0,0
Jake Plummer,2006-10-22,DEN,@,CLE,6,7,Sun,20,41,209,1,2,2,12,3,10,0,0
Philip Rivers,2006-10-22,SDG,@,KAN,6,7,Sun,25,43,266,2,1,4,15,2,2,0,0
Ben Roethlisberger,2006-10-22,PIT,@,ATL,6,7,Sun,16,22,238,3,0,3,15,3,-2,0,0
Matt Schaub,2006-10-22,ATL,,PIT,6,7,Sun,0,0,0,0,0,0,,0,0,0,0
Brad Smith,2006-10-22,NYJ,,DET,7,7,Sun,0,0,0,0,0,,,3,16,0,0
Marques Tuiasosopo,2006-10-22,OAK,,ARI,6,7,Sun,2,4,16,0,0,0,0,3,20,0,0
Michael Vick,2006-10-22,ATL,,PIT,6,7,Sun,18,30,232,4,2,1,6,5,40,0,0
Seneca Wallace,2006-10-22,SEA,,MIN,6,7,Sun,14,25,134,0,2,2,9,2,1,0,0
Andrew Walter,2006-10-22,OAK,,ARI,6,7,Sun,17,30,263,1,1,5,21,1,0,0,0
Rex Grossman,2006-10-16,CHI,@,ARI,6,6,Mon,14,37,144,0,4,2,14,3,-7,0,0
Matt Leinart,2006-10-16,ARI,,CHI,6,6,Mon,24,42,232,2,0,1,12,0,0,0,0
Charlie Batch,2006-10-15,PIT,,KAN,5,6,Sun,1,1,6,0,0,0,0,2,-2,0,0
Drew Bledsoe,2006-10-15,DAL,,HOU,5,6,Sun,17,28,168,2,0,2,19,0,0,0,0
Kyle Boller,2006-10-15,BAL,,CAR,6,6,Sun,17,31,226,3,1,2,9,6,27,0,0
Drew Brees,2006-10-15,NOR,,PHI,6,6,Sun,27,37,275,3,2,0,0,4,-1,0,0
Mark Brunell,2006-10-15,WAS,,TEN,6,6,Sun,16,30,180,1,1,0,0,3,3,0,0
Marc Bulger,2006-10-15,STL,,SEA,6,6,Sun,26,39,360,3,1,6,51,0,0,0,0
David Carr,2006-10-15,HOU,@,DAL,5,6,Sun,15,27,128,0,2,0,0,3,15,0,0
Brodie Croyle,2006-10-15,KAN,@,PIT,5,6,Sun,3,7,23,0,2,1,10,0,0,0,0
Jake Delhomme,2006-10-15,CAR,@,BAL,6,6,Sun,24,39,365,2,2,1,9,2,-2,0,0
Bruce Gradkowski,2006-10-15,TAM,,CIN,5,6,Sun,25,44,184,2,1,2,10,4,19,0,0
Joey Harrington,2006-10-15,MIA,@,NYJ,6,6,Sun,27,43,266,1,2,0,0,1,-1,0,0
Matt Hasselbeck,2006-10-15,SEA,@,STL,5,6,Sun,19,34,268,3,0,4,29,2,22,0,0
Damon Huard,2006-10-15,KAN,@,PIT,5,6,Sun,16,32,162,0,1,0,0,0,0,0,0
