https://www.pro-football-reference.com/play-index/pgl_finder.cgi?request=1&match=game&year_min=2004&year_max=2019&season_start=1&season_end=-1&pos%5B%5D=QB&is_starter=E&game_type=E&league_id=NFL&career_game_num_min=1&career_game_num_max=400&qb_start_num_min=1&qb_start_num_max=400&game_num_min=0&game_num_max=99&week_num_min=0&week_num_max=99&c1stat=pass_att&c1comp=gt&c1val=0&c2stat=rush_att&c2comp=gt&c2val=0&c3stat=fumbles&c3comp=gt&c3val=0&c5val=1.0&order_by=game_date&offset=7900
Sat Oct 26 2019 12:46:41 GMT-0700 (Pacific Daylight Time)

player,date,team,home,opp,game,week,day,completions,passatt,passyards,passtds,ints,sacks,sackyards,rushatt,rushyards,rushtds,fumbles
Alex Smith,2007-09-30,SFO,,SEA,4,4,Sun,0,1,0,0,0,1,10,0,0,0,0
Seneca Wallace,2007-09-30,SEA,@,SFO,4,4,Sun,0,1,0,0,0,0,0,1,-1,0,0
Kurt Warner*,2007-09-30,ARI,,PIT,4,4,Sun,14,21,132,1,0,1,6,1,0,0,0
Drew Brees,2007-09-24,NOR,,TEN,3,3,Mon,29,45,225,0,4,1,7,1,9,0,0
Kerry Collins,2007-09-24,TEN,@,NOR,3,3,Mon,4,4,22,0,0,0,0,0,0,0,0
Vince Young,2007-09-24,TEN,@,NOR,3,3,Mon,14,22,164,2,1,0,0,5,21,0,0
Derek Anderson,2007-09-23,CLE,@,OAK,3,3,Sun,18,37,248,1,2,1,24,2,12,1,0
Charlie Batch,2007-09-23,PIT,,SFO,3,3,Sun,0,0,0,0,0,0,,1,0,0,0
Kyle Boller,2007-09-23,BAL,,ARI,3,3,Sun,8,10,83,0,0,2,7,1,2,0,0
Tom Brady,2007-09-23,NWE,,BUF,3,3,Sun,23,29,311,4,0,1,3,1,2,0,0
Marc Bulger,2007-09-23,STL,@,TAM,3,3,Sun,17,26,116,0,3,1,7,0,0,0,0
Jason Campbell,2007-09-23,WAS,,NYG,3,3,Sun,16,34,190,1,0,2,12,4,12,0,0
David Carr,2007-09-23,CAR,@,ATL,3,3,Sun,3,4,56,0,0,1,10,2,-1,0,0
Matt Cassel,2007-09-23,NWE,,BUF,3,3,Sun,0,0,0,0,0,0,,0,0,0,0
Daunte Culpepper,2007-09-23,OAK,,CLE,3,3,Sun,8,14,118,0,0,1,11,0,0,0,0
Jay Cutler,2007-09-23,DEN,,JAX,3,3,Sun,16,23,222,1,1,1,4,2,-1,0,0
Jake Delhomme,2007-09-23,CAR,@,ATL,3,3,Sun,10,18,109,2,0,2,17,2,1,0,0
Trent Edwards,2007-09-23,BUF,@,NWE,3,3,Sun,10,20,97,0,1,1,9,1,0,0,0
Brett Favre*,2007-09-23,GNB,,SDG,3,3,Sun,28,45,369,3,0,2,6,2,1,0,0
Jeff Garcia,2007-09-23,TAM,,STL,3,3,Sun,14,22,151,0,0,1,11,3,3,0,0
David Garrard,2007-09-23,JAX,@,DEN,3,3,Sun,14,20,154,1,0,3,14,12,52,0,0
Trent Green,2007-09-23,MIA,@,NYJ,3,3,Sun,23,36,318,1,1,1,6,0,0,0,0
Rex Grossman,2007-09-23,CHI,,DAL,3,3,Sun,15,32,195,0,3,3,31,1,12,0,0
Joey Harrington,2007-09-23,ATL,,CAR,3,3,Sun,31,44,361,2,0,1,10,1,4,0,0
Matt Hasselbeck,2007-09-23,SEA,,CIN,3,3,Sun,24,37,248,3,2,2,10,3,-1,0,0
Kelly Holcomb,2007-09-23,MIN,@,KAN,3,3,Sun,14,28,169,0,0,5,36,0,0,0,0
Damon Huard,2007-09-23,KAN,,MIN,3,3,Sun,20,29,206,1,0,1,5,2,4,0,0
Brad Johnson,2007-09-23,DAL,@,CHI,3,3,Sun,0,0,0,0,0,0,,0,0,0,0
Jon Kitna,2007-09-23,DET,@,PHI,3,3,Sun,29,46,446,2,1,10,53,1,1,0,0
